id,timestamp,coin,direction,sell_exchange,buy_exchange,premium_pct,sell_bid_usdt,buy_ask_usdt,krw_usd,usdt_usd,est_qty,est_profit_usdt
379,2026-03-29T22:45:45.442Z,BTC,fwd,bithumb,binance,2.7770556180743533,67033.8884329653,65222.62,1508.01337,1,0.015332104107440025,27.770556180743597
378,2026-03-29T22:45:44.443Z,XRP,fwd,bithumb,bybit,2.619065313210789,1.3348688015942458,1.3008,1508.01337,1,768.7576875768758,26.190653132107826
377,2026-03-29T22:45:44.443Z,XRP,fwd,bithumb,binance,2.619065313210789,1.3348688015942458,1.3008,1508.01337,1,768.7576875768758,26.190653132107826
376,2026-03-29T22:45:44.443Z,ETH,fwd,bithumb,bybit,2.765182626602769,2006.613509003571,1952.62,1508.01337,1,0.5121324169577286,27.651826266027715
375,2026-03-29T22:45:44.442Z,ETH,fwd,bithumb,binance,2.750974658253713,2006.613509003571,1952.89,1508.01337,1,0.5120616112530659,27.509746582537073
374,2026-03-29T22:45:44.442Z,BTC,fwd,bithumb,bybit,2.7811843498394495,67033.8884329653,65220,1508.01337,1,0.015332720024532351,27.811843498394566
373,2026-03-29T22:45:44.442Z,BTC,fwd,bithumb,binance,2.778001099882066,67033.8884329653,65222.02,1508.01337,1,0.015332245152787357,27.7800109988206
372,2026-03-29T22:45:43.443Z,XRP,fwd,bithumb,bybit,2.6378402900154585,1.3349077508119411,1.3006,1507.96937,1,133.94,4.5951801437513975
371,2026-03-29T22:45:43.443Z,XRP,fwd,bithumb,binance,2.6299493205151903,1.3349077508119411,1.3007,1507.96937,1,768.8167909587146,26.29949320515197
370,2026-03-29T22:45:43.443Z,ETH,fwd,bithumb,bybit,2.774497239312823,2006.6720585975827,1952.5,1507.96937,1,0.5121638924455826,27.744972393128137
369,2026-03-29T22:45:43.442Z,ETH,fwd,bithumb,binance,2.762918318938845,2006.6720585975827,1952.72,1507.96937,1,0.5121061903396288,27.629183189388474
368,2026-03-29T22:45:43.442Z,BTC,fwd,bithumb,bybit,2.7848137195606526,67035.84436864257,65219.6,1507.96937,1,0.015332814062030433,27.848137195606473
367,2026-03-29T22:45:43.442Z,BTC,fwd,bithumb,binance,2.7887695827007564,67035.84436864257,65217.09,1507.96937,1,0.015333404173660617,27.887695827007583
366,2026-03-29T22:45:42.443Z,XRP,fwd,bithumb,bybit,2.6852116009185467,1.3349077508119411,1.3,1507.96937,1,769.2307692307692,26.852116009185448
365,2026-03-29T22:45:42.443Z,XRP,fwd,bithumb,binance,2.6615204808075887,1.3349077508119411,1.3003,1507.96937,1,769.0532953933707,26.61520480807592
364,2026-03-29T22:45:42.443Z,ETH,fwd,bithumb,bybit,2.7813405552012505,2006.6720585975827,1952.37,1507.96937,1,0.5121979952570466,27.81340555201258
363,2026-03-29T22:45:42.442Z,ETH,fwd,bithumb,binance,2.7634445768999205,2006.6720585975827,1952.71,1507.96937,1,0.5121088128805609,27.634445768999317
362,2026-03-29T22:45:42.442Z,BTC,fwd,bithumb,bybit,2.7975807467127245,67035.84436864257,65211.5,1507.96937,1,0.015334718569577452,27.97580746712734
361,2026-03-29T22:45:42.442Z,BTC,fwd,bithumb,binance,2.793750305559839,67035.84436864257,65213.93,1507.96937,1,0.015334147167637344,27.93750305559831
360,2026-03-29T22:45:41.443Z,XRP,fwd,bithumb,bybit,2.69311107100092,1.3349077508119411,1.2999,1507.96937,1,769.2899453804139,26.93111071000929
359,2026-03-29T22:45:41.443Z,XRP,fwd,bithumb,binance,2.677313346045773,1.3349077508119411,1.3001,1507.96937,1,769.1716021844474,26.773133460457732
358,2026-03-29T22:45:41.442Z,ETH,fwd,bithumb,bybit,2.7634445768999205,2006.6720585975827,1952.71,1507.96937,1,0.5121088128805609,27.634445768999317
357,2026-03-29T22:45:41.442Z,ETH,fwd,bithumb,binance,2.7402943244288824,2006.6720585975827,1953.15,1507.96937,1,0.511993446483885,27.402943244288764
356,2026-03-29T22:45:41.442Z,BTC,fwd,bithumb,bybit,2.809877918956416,67035.84436864257,65203.7,1507.96937,1,0.015336552987023744,28.098779189564052
355,2026-03-29T22:45:41.442Z,BTC,fwd,bithumb,binance,2.800970058193464,67035.84436864257,65209.35,1507.96937,1,0.015335224166473059,28.00970058193458
354,2026-03-29T22:45:40.443Z,XRP,fwd,bithumb,bybit,2.724721109037409,1.3349077508119411,1.2995,1507.96937,1,769.5267410542516,27.247211090374012
353,2026-03-29T22:45:40.443Z,XRP,fwd,bithumb,binance,2.708913657916523,1.3349077508119411,1.2997,1507.96937,1,33.5,1.1794596522000251
352,2026-03-29T22:45:40.443Z,ETH,fwd,bithumb,bybit,2.762918318938845,2006.6720585975827,1952.72,1507.96937,1,0.5121061903396288,27.629183189388474
351,2026-03-29T22:45:40.442Z,ETH,fwd,bithumb,binance,2.751868146712,2006.6720585975827,1952.93,1507.96937,1,0.0197,1.0587185543723776
350,2026-03-29T22:45:40.442Z,BTC,fwd,bithumb,bybit,2.803255999108356,67035.84436864257,65207.9,1507.96937,1,0.000116,0.21204154676253847
349,2026-03-29T22:45:40.442Z,BTC,fwd,bithumb,binance,2.803240233650439,67035.84436864257,65207.91,1507.96937,1,8e-05,0.1462347494914057
348,2026-03-29T22:45:39.443Z,XRP,fwd,bithumb,bybit,2.7168167753109485,1.3349077508119411,1.2996,1507.96937,1,769.4675284702985,27.168167753109447
347,2026-03-29T22:45:39.443Z,XRP,fwd,bithumb,binance,2.708913657916523,1.3349077508119411,1.2997,1507.96937,1,769.4083249980764,27.08913657916523
346,2026-03-29T22:45:39.443Z,ETH,fwd,bithumb,bybit,2.7434505628303185,2006.6720585975827,1953.09,1507.96937,1,0.5120091752044197,27.43450562830324
345,2026-03-29T22:45:39.442Z,ETH,fwd,bithumb,binance,2.7197835005980275,2006.6720585975827,1953.54,1507.96937,1,0.5118912333507376,27.197835005980284
344,2026-03-29T22:45:39.442Z,BTC,fwd,bithumb,bybit,2.780243579504882,67035.84436864257,65222.5,1507.96937,1,0.01533213231630189,27.80243579504886
343,2026-03-29T22:45:39.442Z,BTC,fwd,bithumb,binance,2.774870245033867,67035.84436864257,65225.91,1507.96937,1,0.015331330754910126,27.74870245033869
342,2026-03-29T22:45:38.443Z,XRP,fwd,bithumb,bybit,2.7168167753109485,1.3349077508119411,1.2996,1507.96937,1,769.4675284702985,27.168167753109447
341,2026-03-29T22:45:38.442Z,XRP,fwd,bithumb,binance,2.708913657916523,1.3349077508119411,1.2997,1507.96937,1,769.4083249980764,27.08913657916523
340,2026-03-29T22:45:38.442Z,ETH,fwd,bithumb,bybit,2.7539727581984863,2006.6720585975827,1952.89,1507.96937,1,0.5120616112530659,27.53972758198495
